ObjectID,bponOntEquipId,bponOntSerialNumber,bponOntSubscriberId1,bponOntSubscriberLocId,ifAdminStatus,ifOperStatus
R1.S1.LT1.PON5.ONT37,     00000G240WF,ALCLB3A5CD26,,22512149,up,down
R1.S1.LT1.PON6.ONT36,     00000G240WF,ALCLB2F6BCB8,ADIDO03_PBO261-F5,22502755,up,up
R1.S1.LT1.PON9.ONT23,     00000G240WF,ALCLB3A5CB65,,22256904,up,up
R1.S1.LT1.PON9.ONT24,     00000G240WF,ALCLB3A5CB1A,,22518839,up,up
R1.S1.LT1.PON4.ONT37,     00000G240WF,ALCLB3A7CB0B,,22505935,up,down
R1.S1.LT1.PON7.ONT21,NOCLEICODEG240WA,ALCLF8716F5B,,WILDCARD,up,up
R1.S1.LT1.PON8.ONT24,,ALCLF87159E1,,WILDCARD,up,down
R1.S1.LT1.PON7.ONT22,,ALCLF8716F48,,WILDCARD,up,down
R1.S1.LT1.PON8.ONT21,NOCLEICODEG240WA,ALCLF871637E,,WILDCARD,up,up
R1.S1.LT1.PON9.ONT20,     00000G240WF,ALCLB3A5CB84,,22258882,up,up
R1.S1.LT1.PON7.ONT23,,ALCLF8716280,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT21,     00000G240WF,ALCLB3A5CCD3,,22509962,up,down
R1.S1.LT1.PON7.ONT24,NOCLEICODEG240WA,ALCLF87159CD,,WILDCARD,up,up
R1.S1.LT1.PON8.ONT23,,ALCLF8716274,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT22,     00000G240WF,ALCLB3A5CB8B,,22259256,up,up
R1.S1.LT1.PON1.ONT23,     00000G240WF,ALCLB3717487,,22519823,up,up
R1.S1.LT1.PON8.ONT20,NOCLEICODEG240WA,ALCLF87154C6,ADI3_PBO203-F6,WILDCARD,up,up
R1.S1.LT1.PON1.ONT24,,ALCLB372BEF3,,22519120,up,down
R1.S1.LT1.PON2.ONT23,     00000G240WF,ALCLB3A5C37E,,22519965,up,up
R1.S1.LT1.PON8.ONT22,NOCLEICODEG240WA,ALCLF87161C3,,WILDCARD,up,up
R1.S1.LT1.PON7.ONT20,NOCLEICODEG240WA,ALCLF8714E05,,WILDCARD,up,up
R1.S1.LT1.PON1.ONT41,     00000G240WF,ALCLB2F6B085,ADIDO1_PBO02-F1,22558910,up,up
R1.S1.LT1.PON2.ONT44,     00000G240WF,ALCLB3BD427E,ADID01_PBO14-F4,22558995,up,up
R1.S1.LT1.PON5.ONT45,     00000G240WF,ALCLB3BD42AB,ADIDO2_PBO40-F5,22253789,up,down
R1.S1.LT1.PON9.ONT49,,ALCLB3A5C2B0,,22505741,up,down
R1.S1.LT1.PON11.ONT2,NOCLEICODEG240WA,ALCLF87151EB,,WILDCARD,up,up
R1.S1.LT1.PON16.ONT1,NOCLEICODEG240WA,ALCLF8715C9C,,WILDCARD,up,down
R1.S1.LT1.PON1.ONT42,     00000G240WF,ALCLB3BD4226,ADIDO_PBO07-F5,22500866,up,up
R1.S1.LT1.PON2.ONT41,     00000G240WF,ALCLB2F6B112,ADIDO1_PBO15-F5,22503915,up,up
R1.S1.LT1.PON5.ONT46,     00000G240WF,ALCLB3BD3B66,ADIDO2_PBO34-F8,22254229,up,up
R1.S1.LT1.PON16.ONT2,,ALCLF8716DBB,,WILDCARD,up,down
R1.S1.LT1.PON1.ONT43,     00000G240WF,ALCLB3D117B9,AMADA1_PBO005-F5,22508178,up,up
