ObjectID,extendPortTotalDnDiscByteCounter,extendPortTotalDnFwdByteCounter,extendPortTotalUpDiscByteCounter,extendPortTotalUpFwdByteCounter,ifOperStatus
R1.S1.LT1.PON3.ONT15.C14.P1,0,370163715913,0,20750542752,down
R1.S1.LT1.PON4.ONT14.C14.P1,0,2365112460518,0,201051884157,up
R1.S1.LT1.PON4.ONT15.C14.P1,0,0,0,0,down
R1.S1.LT1.PON2.ONT11.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT12.C14.P1,0,5837476693386,0,811270961473,up
R1.S1.LT1.PON7.ONT18.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT13.C14.P1,0,1813792007065,0,165967661099,up
R1.S1.LT1.PON6.ONT12.C14.P1,0,990383121914,0,231817112210,down
R1.S1.LT1.PON7.ONT19.C14.P1,0,555252671979,17537,51777273923,down
R1.S1.LT1.PON8.ONT18.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT17.C14.P1,0,1619184663489,0,138968502273,up
R1.S1.LT1.PON3.ONT12.C14.P1,0,5124120188831,0,560631267333,up
R1.S1.LT1.PON5.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT13.C14.P1,0,14424463944608,0,1348056919008,up
R1.S1.LT1.PON7.ONT16.C14.P1,0,2003309541305,18407,248047116254,up
R1.S1.LT1.PON8.ONT19.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT14.C14.P1,0,3426544829491,0,797871080745,up
R1.S1.LT1.PON3.ONT13.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT12.C14.P1,0,1598572374882,0,914148812422,up
R1.S1.LT1.PON5.ONT11.C14.P1,0,1520837538884,0,143001628190,up
R1.S1.LT1.PON6.ONT10.C14.P1,0,1522030488397,0,116074096265,up
R1.S1.LT1.PON7.ONT17.C14.P1,0,1507103327158,19572,181037479248,up
R1.S1.LT1.PON8.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT15.C14.P1,0,2058264613005,0,200700553363,up
R1.S1.LT1.PON3.ONT10.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT13.C14.P1,0,1092630189119,0,149496500438,up
R1.S1.LT1.PON6.ONT11.C14.P1,0,2835463578262,0,1413636227955,up
R1.S1.LT1.PON7.ONT14.C14.P1,0,9444393836821,164,739208202261,up
R1.S1.LT1.PON8.ONT17.C14.P1,0,5529494769424,13535,469273418518,up
R1.S1.LT1.PON3.ONT11.C14.P1,0,95390394,632,179769976,up
R1.S1.LT1.PON4.ONT10.C14.P1,0,3554052760421,6597,447388581572,up
R1.S1.LT1.PON7.ONT15.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT14.C14.P1,0,0,0,0,down
R1.S1.LT1.PON1.ONT18.C14.P1,0,1363231454707,0,123023887899,down
R1.S1.LT1.PON4.ONT11.C14.P1,0,7378628359434,20383,769181887861,up
R1.S1.LT1.PON8.ONT15.C14.P1,0,0,0,0,down
R1.S1.LT1.PON1.ONT19.C14.P1,0,1030338564591,0,91064480107,down
R1.S1.LT1.PON2.ONT18.C14.P1,0,2276603940446,0,119080944619,up
R1.S1.LT1.PON1.ONT16.C14.P1,0,1747083063627,0,165203059807,up
R1.S1.LT1.PON2.ONT19.C14.P1,0,1326534316585,0,158517543334,up
R1.S1.LT1.PON1.ONT17.C14.P1,0,1315987465636,0,133114028359,up
R1.S1.LT1.PON2.ONT16.C14.P1,0,0,0,0,down
